"Label","Sample_ID","Condition","Identifiant","Groupe_de_Fibre","Type_de_Mesure","Area","Mean","StdDev","Min","Max","Major","Minor","Angle","Circ.","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Slice","AR","Round","Solidity","MinThr","MaxThr","Moyenne_Background","Repos","VMA","AIT","Repos_centrage","VMA_centrage"
"1321-1245","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",703,12.119,6.66,7,40,34.811,25.712,114.605,0.945,12813,18,0.496,-0.297,100,12813,1,1.354,0.739,1.001,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1920-1683","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",577,6.824,2.795,7,23,27.938,26.296,9.037,0.962,7461,12,0.765,0.343,100,7461,1,1.062,0.941,0.99,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1927-1755","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",280,4.779,1.36,8,16,22.871,15.587,26.605,0.927,3048,11,0.319,0.043,100,3048,1,1.467,0.682,1.007,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1202-1729","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",536,53.54,27.446,16,127,28.7,23.779,11.943,0.98,31971,54,0.528,-0.797,100,31971,1,1.207,0.829,1.002,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1696-1545","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",356,22.724,6.782,14,45,26.888,16.858,174.503,0.911,10264,29,-0.015,-0.804,100,10264,1,1.595,0.627,0.993,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1803-0531","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",324,22.748,14.153,8,70,23.667,17.431,49.709,0.945,9349,25,0.87,-0.071,100,9349,1,1.358,0.737,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1860-0658","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",490,19.452,6.611,11,43,25.336,24.625,103.06,0.975,12524,25,0.21,-0.734,100,12524,1,1.029,0.972,1.001,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0719-1970","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",355,16.955,6.289,14,42,30.223,14.955,30.352,0.812,8187,21,0.848,-0.094,100,8187,1,2.021,0.495,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0864-1870","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",330,28.384,14.811,12,75,25.179,16.687,32.073,0.939,11382,31,0.661,-0.626,100,11382,1,1.509,0.663,0.991,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0877-1420","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",555,5.524,3.449,5,22,33.117,21.338,87.696,0.762,6455,11,0.555,-0.463,100,6455,1,1.552,0.644,0.962,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1091-1585","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",410,5.169,3.43,6,21,25.042,20.846,63.973,0.898,4623,10,0.768,-0.153,100,4623,1,1.201,0.832,0.987,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1094-1636","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",275,4.995,2.194,7,18,20.521,17.062,150.326,0.937,3053,11,0.607,-0.021,100,3053,1,1.203,0.831,0.965,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1136-1882","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",534,50.103,24.625,17,112,30.39,22.373,10.025,0.952,30016,54,0.419,-0.883,100,30016,1,1.358,0.736,1.01,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1317-1621","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",334,47.896,14.908,21,88,28.535,14.903,157.259,0.797,18037,54,-0.01,-0.946,100,18037,1,1.915,0.522,0.946,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1373-1898","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",736,24.623,17.368,6,74,33.563,27.921,11.482,0.969,22617,28,0.463,-0.832,100,22617,1,1.202,0.832,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1425-0738","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",675,12.61,10.98,7,54,35.545,24.179,44.917,0.927,12634,14,1.136,0.231,100,12634,1,1.47,0.68,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1427-1069","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",739,56.28,50.897,6,183,35.646,26.396,69.732,0.921,46104,50,0.625,-0.866,100,46104,1,1.35,0.741,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1480-0404","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",350,9.916,2.345,10,24,22.18,20.091,73.064,0.971,5608,16,0.161,-0.209,100,5608,1,1.104,0.906,0.985,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1480-1637","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",490,26.564,12.225,11,63,30.293,20.595,1.512,0.928,16009,33,0.135,-1.048,100,16009,1,1.471,0.68,0.99,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1549-0691","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",839,9.46,3.24,7,26,38.526,27.728,11.239,0.929,13061,16,0.063,-0.239,100,13061,1,1.389,0.72,0.996,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1567-1742","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",434,50.193,10.852,31,81,24.388,22.659,34.079,0.971,24434,57,-0.084,-0.608,100,24434,1,1.076,0.929,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1610-1683","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",746,15.515,8.489,5,38,34.706,27.368,130.587,0.972,16130,24,-0.356,-1.217,100,16130,1,1.268,0.789,1.006,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1625-1876","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",618,57.252,31.977,13,145,29.264,26.889,137.183,0.978,39156,59,0.547,-0.513,100,39156,1,1.088,0.919,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1637-1443","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",725,53.39,30.861,11,122,31.906,28.932,142.61,0.978,43135,60,0.085,-1.287,100,43135,1,1.103,0.907,0.99,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1673-1468","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",699,24.378,6.458,12,48,38.571,23.074,114.954,0.863,21309,31,-0.177,-0.568,100,21309,1,1.672,0.598,0.984,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1687-1999","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",476,16.263,5.616,9,40,26.309,23.036,22.195,0.972,10648,22,0.23,0.275,100,10648,1,1.142,0.876,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1696-1682","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",710,2.978,1.25,4,13,39.291,23.008,111.412,0.861,6450,9,0.179,0.475,100,6450,1,1.708,0.586,1.001,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1763-1904","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",602,56.431,28.786,10,135,30.786,24.897,8.326,0.967,37648,60,0.288,-0.684,100,37648,1,1.237,0.809,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1807-1627","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",524,42.569,18.123,19,97,28.026,23.806,52.159,0.971,25506,45,0.55,-0.591,100,25506,1,1.177,0.849,0.991,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1881-0799","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",348,31.14,11.918,13,63,25.928,17.089,8.55,0.908,12962,37,0.122,-1.049,100,12962,1,1.517,0.659,0.976,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1885-0901","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",577,4.794,2.345,6,19,27.105,27.105,0,1,6290,11,0.53,-0.288,100,6290,1,1,1,0.993,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1980-1910","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",330,7.59,1.911,9,19,23.147,18.152,89.894,0.945,4520,14,0.144,-0.492,100,4520,1,1.275,0.784,0.991,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1981-0404","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",556,28.215,14.977,8,77,29.445,24.042,47.047,0.97,19083,34,0.398,-0.554,100,19083,1,1.225,0.816,1.004,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2018-1187","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",670,88.603,57.187,23,255,32.465,26.276,25.436,0.973,63456,77,0.992,0.206,100,63456,1,1.236,0.809,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2020-0809","51_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",313,9.072,3.82,8,26,21.774,18.303,173.064,0.949,4751,15,0.255,-0.546,100,4751,1,1.19,0.841,0.984,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0484-1161","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",575,2.933,4.303,5,38,35.227,20.783,4.132,0.895,5198,8,3.813,15.74,100,5198,1,1.695,0.59,1.006,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0719-0111","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",315,16.09,6.605,10,40,29.117,13.774,31.639,0.806,6992,20,0.857,-0.193,100,6992,1,2.114,0.473,0.978,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0792-1799","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",1128,5.479,2.145,6,19,49.606,28.952,160.851,0.887,13069,11,0.378,-0.27,100,13069,1,1.713,0.584,1.007,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0866-1673","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",450,23.915,16.755,8,70,29.033,19.735,105.851,0.909,13510,28,0.236,-1.338,100,13510,1,1.471,0.68,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0911-0736","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",282,6.943,1.832,9,19,21.976,16.338,44.557,0.941,3680,13,0.407,0.012,100,3680,1,1.345,0.743,0.969,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1391-0330","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",640,31.587,24.505,16,133,32.75,24.882,23.864,0.954,24124,26,1.543,1.493,100,24124,1,1.316,0.76,1.002,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1506-1145","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",374,22.725,11.358,11,61,29.329,16.236,5.389,0.859,10783,25,0.76,-0.493,100,10783,1,1.806,0.554,0.984,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1516-1212","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",371,83.675,28.337,40,158,23.852,19.804,165.904,0.968,33309,85,0.446,-0.899,100,33309,1,1.204,0.83,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2036-1059","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",581,13.881,5.935,9,39,40.08,18.457,165.224,0.765,11613,20,0.26,-0.751,100,11613,1,2.172,0.461,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0724-1075","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",409,6.543,3.881,7,29,24.703,21.081,126.99,0.972,5174,12,1.792,3.603,100,5174,1,1.172,0.853,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0820-0952","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",222,4.479,1.554,7,16,18.41,15.354,1.898,0.975,2350,11,0.333,0.396,100,2350,1,1.199,0.834,1.023,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1113-0562","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",846,40.343,34.566,7,183,39.006,27.615,55.929,0.943,39297,37,1.482,1.882,100,39297,1,1.412,0.708,1.004,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1253-0637","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",611,91.79,41.856,27,201,30.444,25.553,62.257,0.971,59815,93,0.429,-0.611,100,59815,1,1.191,0.839,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1567-1946","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",576,25.702,20.018,9,85,30.842,23.779,167.017,0.958,18322,25,0.627,-0.878,100,18322,1,1.297,0.771,1.017,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1614-0530","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",362,36.722,14.492,17,75,25.072,18.383,49.902,0.937,15504,43,0.144,-1.041,100,15504,1,1.364,0.733,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0428-1465","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",541,2.998,1.286,6,13,34.012,20.252,23.241,0.884,4926,9,0.216,-0.018,100,4926,1,1.679,0.595,0.993,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0521-1315","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",273,4.018,1.406,7,15,19.956,17.418,8.7,0.964,2764,10,0.207,0.359,100,2764,1,1.146,0.873,1.007,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0529-1571","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",587,1.896,1.31,5,15,34.147,21.887,62.283,0.925,4698,8,1.137,2.228,100,4698,1,1.56,0.641,1.001,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0554-0907","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",504,15.992,7.274,8,53,35.541,18.056,92.175,0.83,11138,21,1.424,2.812,100,11138,1,1.968,0.508,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0567-1834","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",325,1.908,0.983,5,11,21.545,19.207,110.045,0.974,2605,8,0.321,0.088,100,2605,1,1.122,0.891,0.989,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0585-1412","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",466,9.863,8.148,6,39,30.586,19.399,29.119,0.922,7442,13,0.811,-0.563,100,7442,1,1.577,0.634,1.003,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0626-1156","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",262,4.553,2.497,6,19,22.015,15.153,6.42,0.908,2793,10,0.536,-0.245,100,2793,1,1.453,0.688,0.987,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0646-0781","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",707,13.595,11.093,5,48,33.201,27.113,90,0.995,13929,17,0.576,-0.971,100,13929,1,1.225,0.817,1,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0735-0697","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",337,15.231,11.942,7,51,23.696,18.107,104.453,0.932,7191,18,0.733,-0.736,100,7191,1,1.309,0.764,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0754-2024","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",486,32.689,18.323,7,79,26.477,23.371,141.704,0.957,18855,38,0.122,-1.087,100,18855,1,1.133,0.883,0.985,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0767-0538","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",398,13.798,7.969,7,43,24.79,20.442,75.724,0.968,7922,19,0.641,-0.308,100,7922,1,1.213,0.825,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0787-1627","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",545,9.539,5.457,7,29,29.995,23.135,40.07,0.955,8527,15,0.41,-1.081,100,8527,1,1.297,0.771,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0841-1514","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",236,2.427,1.049,6,11,20.917,14.366,119.684,0.912,2014,9,0.087,-0.272,100,2014,1,1.456,0.687,1,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0882-1948","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",242,7.199,2.028,6,19,21.107,14.598,20.763,0.924,3220,14,-0.399,0.512,100,3220,1,1.446,0.692,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0943-1376","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",373,51.687,19.852,20,105,25.711,18.471,28.339,0.942,21557,55,0.288,-0.87,100,21557,1,1.392,0.718,0.973,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0944-1351","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",285,87.367,44.33,29,203,19.468,18.639,78.957,0.969,26640,87,0.535,-0.65,100,26640,1,1.045,0.957,1.016,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1008-1789","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",355,22.963,14.283,9,68,24.994,18.085,3.647,0.944,10320,25,0.67,-0.514,100,10320,1,1.382,0.724,0.986,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1015-1169","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",387,88.937,27.395,41,147,25.566,19.273,170.61,0.955,36782,96,-0.115,-1.093,100,36782,1,1.326,0.754,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1047-1316","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",537,6.651,2.531,7,20,29.118,23.481,70.02,0.953,6851,12,0.577,-0.325,100,6851,1,1.24,0.806,1.005,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1079-1340","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",662,37.014,29.014,6,129,36.389,23.163,135.267,0.892,28546,35,0.897,-0.111,100,28546,1,1.571,0.637,1.002,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1081-0980","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",632,8.352,5.956,6,34,35.033,22.969,177.29,0.899,9138,13,0.896,0.005,100,9138,1,1.525,0.656,0.996,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1108-2015","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",270,50.956,27.045,13,118,20.248,16.978,70.867,0.969,15407,52,0.28,-1.033,100,15407,1,1.193,0.838,0.996,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1118-1685","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",500,9.257,2.347,10,24,26.531,23.995,76.423,0.972,7682,15,0.269,0.005,100,7682,1,1.106,0.904,0.984,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1131-0925","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",407,17.704,6.538,11,42,24.57,21.091,35.682,0.956,9691,23,0.523,-0.452,100,9691,1,1.165,0.858,1.009,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1150-1482","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",525,63.348,48.908,9,185,30.44,21.96,34.638,0.951,36464,59,0.585,-0.807,100,36464,1,1.386,0.721,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1156-0482","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",458,68.64,35.382,19,172,27.101,21.517,112.521,0.963,34234,69,0.434,-0.626,100,34234,1,1.26,0.794,0.974,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1181-1093","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",405,4.965,2.567,6,18,26.51,19.451,152.509,0.943,4484,11,0.229,-0.488,100,4484,1,1.363,0.734,1,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1190-1255","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",247,65.508,25.542,24,135,19.694,15.969,113.529,0.972,17689,68,0.261,-0.815,100,17689,1,1.233,0.811,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1195-1976","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",904,44.868,24.779,12,102,38.422,29.957,43.762,0.946,46081,48,0.35,-1.074,100,46081,1,1.283,0.78,0.998,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1262-0309","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",412,46.713,31.797,6,122,28.489,18.413,128.71,0.916,21762,51,0.263,-1.142,100,21762,1,1.547,0.646,1.014,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1287-0912","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",506,77.18,52.418,16,197,28.303,22.763,135.381,0.94,42143,70,0.43,-1.182,100,42143,1,1.243,0.804,0.996,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1288-1488","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",449,35.205,25.754,5,98,26.203,21.818,69.876,0.942,18549,37,0.432,-1.005,100,18549,1,1.201,0.833,0.979,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1306-1948","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",749,44.119,30.284,6,132,35.355,26.974,97.088,0.958,37619,42,0.667,-0.5,100,37619,1,1.311,0.763,1.003,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1308-0811","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",219,10.843,3.302,9,25,19.027,14.655,17.502,0.945,3712,17,-0.364,-0.446,100,3712,1,1.298,0.77,1.028,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1344-1287","52_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",448,18.098,9.073,7,47,23.883,23.883,0,0.99,10844,23,0.28,-0.854,100,10844,1,1,1,0.991,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
